epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,9723.09,0.87165,0.51374,0.97734,0.85998,0.88636,0.90938,0.54677,1.58298,0.72615,1.34061,0.0008714,0.0008714,0.0008714
59,9907.21,0.86081,0.50756,0.95437,0.88043,0.81818,0.89671,0.54036,1.50647,0.75097,1.34345,0.0008516,0.0008516,0.0008516
60,10090.5,0.87401,0.52716,0.95671,0.90016,0.79545,0.89627,0.55072,1.52846,0.71801,1.37409,0.0008318,0.0008318,0.0008318
61,10272.5,0.85962,0.50213,0.96731,0.92075,0.79218,0.88156,0.5167,1.56052,0.78644,1.4401,0.000812,0.000812,0.000812
62,10454.7,0.83196,0.50611,0.94116,0.88893,0.81818,0.90201,0.50868,1.6072,0.73421,1.42296,0.0007922,0.0007922,0.0007922
63,10625.3,0.87442,0.51099,0.95048,0.80909,0.86691,0.90866,0.52094,1.58717,0.71241,1.42058,0.0007724,0.0007724,0.0007724
64,10784.6,0.81601,0.493,0.93824,0.85924,0.84091,0.90179,0.53439,1.58848,0.70469,1.40235,0.0007526,0.0007526,0.0007526
65,10947,0.80677,0.47295,0.93655,0.87751,0.81818,0.8894,0.52437,1.62498,0.71822,1.43323,0.0007328,0.0007328,0.0007328
66,11109.3,0.81051,0.47018,0.9593,0.863,0.85908,0.88965,0.52007,1.60641,0.72252,1.42139,0.000713,0.000713,0.000713
67,11269.7,0.78859,0.46241,0.9599,0.86183,0.86364,0.90434,0.52042,1.62356,0.72148,1.41818,0.0006932,0.0006932,0.0006932
68,11429.3,0.81409,0.47835,0.94727,0.85411,0.84091,0.91036,0.54599,1.57579,0.71836,1.41437,0.0006734,0.0006734,0.0006734
69,11586.3,0.79769,0.46683,0.95044,0.83181,0.84091,0.90834,0.54755,1.57258,0.76321,1.37169,0.0006536,0.0006536,0.0006536
70,11742.9,0.80904,0.47738,0.95251,0.92323,0.79545,0.91794,0.55477,1.52955,0.69344,1.34731,0.0006338,0.0006338,0.0006338
71,11901.4,0.80442,0.47161,0.93677,0.83813,0.86364,0.91035,0.54174,1.58808,0.71317,1.4137,0.000614,0.000614,0.000614
72,12060.6,0.74849,0.4437,0.92191,0.84102,0.86364,0.86768,0.52111,1.54969,0.71643,1.42603,0.0005942,0.0005942,0.0005942
73,12216.1,0.76547,0.45107,0.92736,0.81765,0.84091,0.86438,0.5013,1.53987,0.71155,1.41974,0.0005744,0.0005744,0.0005744
74,12377.2,0.771,0.46963,0.92534,0.8429,0.8537,0.87305,0.53102,1.53024,0.69057,1.41714,0.0005546,0.0005546,0.0005546
75,12535.8,0.79207,0.46832,0.96242,0.84338,0.85681,0.91208,0.55583,1.55809,0.7069,1.46088,0.0005348,0.0005348,0.0005348
